headX,headY,spineX,spineY,shoulder centerX,shoulder centerX,shoulder rightX,shoulder rightY,elbowRightX,elbowRightY,wristrightX,wristrightY,center angle
-0.0466107,0.4062838,-0.04060896,-0.1281517,-0.04718317,0.2132322,0.1184691,0.1151581,0.1665527,-0.1640377,0.1850789,-0.3848259,17.7532117149529
-0.0461869,0.4062867,-0.03952979,-0.1274885,-0.04608104,0.2135138,0.1202416,0.1157203,0.1674505,-0.1641469,0.1850392,-0.3855672,17.636216510003
-0.04507279,0.4064745,-0.03875744,-0.1268868,-0.04490363,0.214043,0.1212266,0.1164041,0.1685388,-0.1634116,0.1850799,-0.3855919,17.6040068642001
-0.04450155,0.406288,-0.03808859,-0.1264392,-0.04442453,0.2141247,0.1220352,0.1172413,0.1694663,-0.1627148,0.1848554,-0.3853137,17.5205588844253
-0.0447112,0.4060255,-0.03761668,-0.1260074,-0.04374351,0.214031,0.1225136,0.1178388,0.1703648,-0.1616699,0.1849731,-0.3847693,17.4966407313257
-0.0450444,0.4072337,-0.03756841,-0.1257725,-0.04357129,0.2138121,0.122501,0.1172801,0.171674,-0.1605905,0.1845847,-0.383855,18.2570879187407
-0.04550814,0.4068352,-0.03785465,-0.1257049,-0.04377009,0.2136417,0.1221432,0.1163208,0.1716902,-0.1604822,0.1833038,-0.383866,18.3770023565667
-0.04631981,0.4070355,-0.03893102,-0.1258382,-0.0444562,0.213617,0.1203726,0.1154099,0.1714235,-0.1600215,0.1826309,-0.3830183,17.6460072327767
-0.04812085,0.4064363,-0.04248257,-0.1260955,-0.04725344,0.2133297,0.1181337,0.114826,0.1697558,-0.1596628,0.181686,-0.3841377,19.347030124782
-0.0498248,0.4071437,-0.04692007,-0.1265568,-0.04990122,0.2137883,0.1142838,0.1137691,0.1684013,-0.1596462,0.1906655,-0.3844793,20.3807065233267
-0.05504475,0.4072268,-0.0516903,-0.1269324,-0.05534367,0.2134873,0.1105862,0.1129308,0.166974,-0.1621933,0.1945193,-0.3870298,21.2520880865203
-0.06087374,0.4057297,-0.05631001,-0.1273593,-0.06002719,0.212504,0.1056003,0.1118919,0.1659622,-0.1622732,0.211896,-0.38078,22.2559617995412
-0.06416285,0.4055617,-0.06158828,-0.1271513,-0.06649245,0.2117552,0.1004737,0.1117582,0.1658228,-0.1605896,0.2248269,-0.3776793,23.8134333513839
-0.07657526,0.4067445,-0.07104318,-0.1271555,-0.07530493,0.2105673,0.09033564,0.1120253,0.1663897,-0.1585084,0.2346549,-0.3746089,25.5613389805175
-0.08000115,0.4060126,-0.07856142,-0.1263318,-0.08310451,0.2103572,0.08239846,0.1123068,0.1673964,-0.1551438,0.2439314,-0.3691295,27.3966022615075
-0.090316,0.4065335,-0.08699086,-0.1242597,-0.09229385,0.2100397,0.07586761,0.1120872,0.1687107,-0.1519639,0.2559234,-0.3625169,29.2230730964229
-0.09457661,0.4054522,-0.09107047,-0.1229262,-0.1013587,0.2091508,0.07095188,0.1112034,0.1698464,-0.1610248,0.2546971,-0.374177,29.4502003966486
-0.09952208,0.4073575,-0.0955708,-0.1214721,-0.1074868,0.2098394,0.066032,0.1100707,0.1701789,-0.1681932,0.2600117,-0.3786881,31.1089751676889
-0.1052368,0.4036856,-0.09910297,-0.1207823,-0.1124551,0.2088423,0.06143966,0.1084771,0.1775592,-0.1539934,0.2540436,-0.3703818,32.1024108938189
-0.1084536,0.4034417,-0.1024442,-0.1199035,-0.1173791,0.2089728,0.05775055,0.1070147,0.1865745,-0.1457603,0.2488533,-0.3655306,31.8907935692433
-0.1144298,0.4050569,-0.1201462,-0.1180326,-0.125355,0.2094037,0.05166183,0.1068271,0.192958,-0.1258491,0.3329625,-0.3045391,39.4315223159614
-0.1171305,0.4033511,-0.1240769,-0.1174129,-0.1295765,0.2088997,0.04738888,0.1072204,0.1940494,-0.1238515,0.3352703,-0.3025175,40.299746276996
-0.1196786,0.4032727,-0.1268317,-0.1171604,-0.132678,0.2085593,0.04501288,0.1070826,0.1941507,-0.1214238,0.3455695,-0.2920642,42.1104465859068
-0.1231596,0.4017704,-0.1290438,-0.1165305,-0.1347025,0.208522,0.04386865,0.1067234,0.1945966,-0.1178386,0.3621333,-0.2705461,44.2218330584033
-0.1246757,0.4015026,-0.1312258,-0.1159888,-0.1380917,0.2080211,0.04238382,0.1068702,0.2004893,-0.1113476,0.371071,-0.2621534,46.1407447602641
-0.1257657,0.4013207,-0.1327052,-0.116046,-0.1403902,0.2076918,0.04076954,0.1064841,0.2037294,-0.1061948,0.3810416,-0.2484927,48.0226668913014
-0.1274865,0.4014319,-0.1334844,-0.1161022,-0.1410913,0.2075844,0.03964761,0.1064522,0.2134541,-0.09276229,0.3950827,-0.229799,49.7333887737431
-0.1288136,0.4013649,-0.1340869,-0.1161683,-0.1417184,0.2076268,0.03899486,0.1066224,0.2212908,-0.0851543,0.4040685,-0.2228046,51.4103175937154
-0.1291888,0.4014574,-0.1346993,-0.1162611,-0.1425477,0.207738,0.03880135,0.1066494,0.2297941,-0.07491757,0.4167199,-0.2078745,52.5508517293765
-0.1297284,0.4019768,-0.1351549,-0.1163493,-0.1428273,0.2078246,0.03868691,0.1067937,0.2330704,-0.07058688,0.4252086,-0.1963792,53.6451734220413
-0.1296429,0.4020419,-0.1351622,-0.1165294,-0.1428702,0.2078585,0.03873175,0.1069302,0.2347481,-0.06682193,0.4301175,-0.1874084,54.5831291350633
